_id,ID,Binomal_Jetz,English,Museum_collection,Museum_accession,Sex,Museum_genus,Museum_species,Museum_subspecies,Specimen_label_photos,MMB_scan_url,MMB_scan_download,Markup_1,Markup_2,Markup_3,Markup_4
52,Tragopan_melanocephalus_1,Tragopan_melanocephalus,Western Tragopan,Tring,89.5.13.459,M,Tragopan,melanocephalus,,Y,https://www.markmybird.org/gallery/tragopan_melanocephalus/1493,http://lfs.nhm.ac.uk/mark-my-bird/Tragopan_melanocephalus/Tragopan_melanocephalus_1.obj,36_zoe,465_JSquirrell,52_grrlscientist,44_Chris
53,Pucrasia_macrolopha_1,Pucrasia_macrolopha,Koklass Pheasant,Tring,81.7.30.74,M,Pucrasia,macrolopha,macrolopha,Y,https://www.markmybird.org/gallery/pucrasia_macrolopha/1633,http://lfs.nhm.ac.uk/mark-my-bird/Pucrasia_macrolopha/Pucrasia_macrolopha_1.obj,4_gavin,52_grrlscientist,36_zoe,44_Chris
54,Lophophorus_impejanus_1,Lophophorus_impejanus,Himalayan Monal,Manchester,4341,M,Lophophorus,impejanus,,,https://www.markmybird.org/gallery/lophophorus_impejanus/956,http://lfs.nhm.ac.uk/mark-my-bird/Lophophorus_impejanus/Lophophorus_impejanus_1.obj,485_oharar,40_chris13,44_Chris,43_elliot
55,Gallus_gallus_1,Gallus_gallus,Red Junglefowl,Tring,89.5.13.552,M,Gallus,gallus,murghi,Y,https://www.markmybird.org/gallery/gallus_gallus/200,http://lfs.nhm.ac.uk/mark-my-bird/Gallus_gallus/Gallus_gallus_1.obj,44_Chris,48_okeeffeml,40_chris13,36_zoe
56,Lophura_leucomelanos_1,Lophura_leucomelanos,Kalij Pheasant,Tring,81.5.1.5298,M,Lophura,leucomelana,leucomelana,Y,https://www.markmybird.org/gallery/lophura_leucomelanos/1768,http://lfs.nhm.ac.uk/mark-my-bird/Lophura_leucomelana/Lophura_leucomelana_1.obj,465_JSquirrell,52_grrlscientist,480_KateB,44_Chris
57,Catreus_wallichi_1,Catreus_wallichi,Cheer Pheasant,Tring,89.5.10.1609,M,Catreus,wallichi,,Y,https://www.markmybird.org/gallery/catreus_wallichi/642,http://lfs.nhm.ac.uk/mark-my-bird/Catreus_wallichi/Catreus_wallichi_1.obj,56_hughbrazier,40_chris13,363_Peregrin3,485_oharar
58,Syrmaticus_humiae_1,Syrmaticus_humiae,Hume's Pheasant,Tring,1922.12.7.16,M,Syrmaticus,humiae,burmanicus,Y,https://www.markmybird.org/gallery/syrmaticus_humiae/470,http://lfs.nhm.ac.uk/mark-my-bird/Syrmaticus_humiae/Syrmaticus_humiae_1.obj,645_justinwalker,43_elliot,363_Peregrin3,44_Chris
59,Phasianus_colchicus_1,Phasianus_colchicus,Common Pheasant,Tring,92.9.151,M,Phasianus,colchicus,colchicus,Y,https://www.markmybird.org/gallery/phasianus_colchicus/1682,http://lfs.nhm.ac.uk/mark-my-bird/Phasianus_colchicus/Phasianus_colchicus_1.obj,211_JohnR,36_zoe,52_grrlscientist,44_Chris
60,Chrysolophus_pictus_1,Chrysolophus_pictus,Golden Pheasant,Tring,1907.12.31.94,M,Chrysolophus,pictus,,Y,https://www.markmybird.org/gallery/chrysolophus_pictus/1944,http://lfs.nhm.ac.uk/mark-my-bird/Chrysolophus_pictus/Chrysolophus_pictus_1.obj,44_Chris,444_Skite4,40_chris13,36_zoe
61,Polyplectron_napoleonis_1,Polyplectron_napoleonis,Palawan Peacock-pheasant,Tring,1911.11.16.3,M,Polyplectron,emphanum,,Y,https://www.markmybird.org/gallery/polyplectron_napoleonis/382,http://lfs.nhm.ac.uk/mark-my-bird/Polyplectron_emphanum/Polyplectron_emphanum_1.obj,645_justinwalker,541_W.W,44_Chris,36_zoe
62,Rheinardia_ocellata_1,Rheinardia_ocellata,Crested Argus,Tring,1928.6.26.98,M,Rheinardia,ocellata,,Y,https://www.markmybird.org/gallery/rheinardia_ocellata/1622,http://lfs.nhm.ac.uk/mark-my-bird/Rheinardia_ocellata/Rheinardia_ocellata_1.obj,465_JSquirrell,36_zoe,52_grrlscientist,44_Chris
63,Argusianus_argus_1,Argusianus_argus,Great Argus,Tring,1905.2.1.226,M,Argusianus,argus,argus,Y,https://www.markmybird.org/gallery/argusianus_argus/1210,http://lfs.nhm.ac.uk/mark-my-bird/Argusianus_argus/Argusianus_argus_1.obj,44_Chris,36_zoe,404_Nathaniel,43_elliot
64,Afropavo_congensis_1,Afropavo_congensis,Congo Peafowl,Tring,1984.10.1,M,Afropavo,congensis,,Y,https://www.markmybird.org/gallery/afropavo_congensis/43,http://lfs.nhm.ac.uk/mark-my-bird/Afropavo_congensis/Afropavo_congensis_1.obj,44_Chris,56_hughbrazier,363_Peregrin3,4_gavin
65,Pavo_cristatus_1,Pavo_cristatus,Indian Peafowl,Tring,89.5.10.7,M,Pavo,cristatus,,Y,https://www.markmybird.org/gallery/pavo_cristatus/1691,http://lfs.nhm.ac.uk/mark-my-bird/Pavo_cristatus/Pavo_cristatus_1.obj,35_Lara,36_zoe,52_grrlscientist,44_Chris
66,Dendragapus_obscurus_1,Dendragapus_obscurus,Dusky Grouse,Tring,1913.12.26.2,M,Dendragapus,obscurus,obscurus,Y,https://www.markmybird.org/gallery/dendragapus_obscurus/756,http://lfs.nhm.ac.uk/mark-my-bird/Dendragapus_obscurus/Dendragapus_obscurus_1.obj,533_mahua,183_ThomasG,363_Peregrin3,36_zoe
67,Lagopus_lagopus_1,Lagopus_lagopus,Willow Ptarmigan,Tring,88.10.10.2804,M,Lagopus,lagopus,lagopus,Y,https://www.markmybird.org/gallery/lagopus_lagopus/1793,http://lfs.nhm.ac.uk/mark-my-bird/Lagopus_lagopus/Lagopus_lagopus_1.obj,465_JSquirrell,36_zoe,379_Emma94,44_Chris
68,Tetrao_tetrix_1,Tetrao_tetrix,Black Grouse,Manchester,8388,M,Tetrao,tetrix,,,https://www.markmybird.org/gallery/tetrao_tetrix/1466,http://lfs.nhm.ac.uk/mark-my-bird/Tetrao_tetrix/Tetrao_tetrix_1.obj,43_elliot,485_oharar,50_kathrynross27,
69,Bonasa_bonasia_1,Bonasa_bonasia,Hazel Grouse,Tring,96.1.1.471,M,Tetrastes,bonasia,bonasia,Y,https://www.markmybird.org/gallery/bonasa_bonasia/1222,http://lfs.nhm.ac.uk/mark-my-bird/Tetrastes_bonasia/Tetrastes_bonasia_1.obj,44_Chris,43_elliot,404_Nathaniel,35_Lara
70,Centrocercus_urophasianus_1,Centrocercus_urophasianus,Greater Sage-grouse,Tring,1903.12.16.1,M,Centrocercus,urophasianus,,Y,https://www.markmybird.org/gallery/centrocercus_urophasianus/643,http://lfs.nhm.ac.uk/mark-my-bird/Centrocercus_urophasianus/Centrocercus_urophasianus_1.obj,56_hughbrazier,369_Gepwin,363_Peregrin3,36_zoe
71,Tympanuchus_phasianellus_1,Tympanuchus_phasianellus,Sharp-tailed Grouse,Manchester,7241,F,Tympanuchus,phasianellus,,,https://www.markmybird.org/gallery/tympanuchus_phasianellus/1505,http://lfs.nhm.ac.uk/mark-my-bird/Tympanuchus_phasianellus/Tympanuchus_phasianellus_1.obj,183_ThomasG,36_zoe,52_grrlscientist,44_Chris
72,Meleagris_gallopavo_1,Meleagris_gallopavo,Wild Turkey,Tring,NA,M,Meleagris,gallopova,osceola,,https://www.markmybird.org/gallery/meleagris_gallopavo/272,http://lfs.nhm.ac.uk/mark-my-bird/Meleagris_gallopova/Meleagris_gallopova_1.obj,485_oharar,259_NicosNest,363_Peregrin3,43_elliot
73,Agelastes_niger_1,Agelastes_niger,Black Guineafowl,Tring,1911.5.31.9,M,Agelastes,niger,,,https://www.markmybird.org/gallery/agelastes_niger/44,http://lfs.nhm.ac.uk/mark-my-bird/Agelastes_niger/Agelastes_niger_1.obj,44_Chris,56_hughbrazier,43_elliot,396_Arasevera
74,Numida_meleagris_1,Numida_meleagris,Helmeted Guineafowl,Tring,1922.12.8.29,M,Numida,meleagris,meleagris,Y,https://www.markmybird.org/gallery/numida_meleagris/1090,http://lfs.nhm.ac.uk/mark-my-bird/Numida_meleagris/Numida_meleagris_1.obj,147_EllenB75,44_Chris,20_angela,480_KateB
75,Guttera_plumifera_1,Guttera_plumifera,Plumed Guineafowl,Tring,1902.5.16.7,M,Guttera,plumifera,plumifera,Y,https://www.markmybird.org/gallery/guttera_plumifera/854,http://lfs.nhm.ac.uk/mark-my-bird/Guttera_plumifera/Guttera_plumifera_1.obj,36_zoe,40_chris13,43_elliot,
