Clade,Species,cmyc,rag1,rag2,myoglobin,Glyceraldehyde3phosphate,MUSK,OrnithineDecarboxylase,Rhodopsin,TGFB2,Tropomyosin,ZENK,ZENK3UTR,cytb,coi,nd2,nd3
Spheniscidae,Eudyptula_minor,,DQ137235,,EU739960,,EU739805,,EU737211,EU737374,,,,AF362763,NC_004538,NC_004538,NC_004538
Steatornis_caripensis,Steatornis_caripensis,AF295135,DQ482611,,AY233371,,EU739878,GU166934,EU737289,EU737457,EU737599,,,EU167023,,EU042516,
Strigidae,Speotyto_cunicularia,,,,EU740041,,EU739877,,EU737288,EU737456,EU737598,,,AJ003944,DQ433340,,
Strigops_habroptila,Strigops_habroptila,,,,,,,,EU665557,EU660301,EU665631,,,NC_005931,NC_005931,NC_005931,NC_005931
Sulidae,Morus_bassanus,DQ881932,DQ881831,,EU739994,,EU739838,EF552744,EU737245,EU737409,EU737560,,,AJ004230,DQ433812,,AY567935
Thamnophilidae,Thamnophilus_caerulescens,AF295180,FJ461176,FJ461066,AY065783,AY336587,,DQ435504,,,,AF492521,AF492551,AY962715,FJ028411,EF030294,EF030232
Threskiornithidae,Eudocimus_albus,,,,EU739959,,EU739804,,EU737210,EU737373,EU737530,,,EU167026,DQ433628,EU166938,
TitTyranRest,Elaenia_flavogaster,AF377279,AF453794,,AY064254,DQ435464,,DQ435480,,,,,,AF453807,EU442307,EF501906,
Todidae,Todus_angustirostris,,DQ111790,,EU740051,,EU739887,,EU737298,EU737466,,,,AF441624,,DQ111829,
Trochilidae,Colibri_coruscans,,DQ482639,,EU739944,,EU739788,,EU737197,EU737356,EU737516,,,AY150651,FJ027417,AY830476,
Trogonidae,Pharomachrus_auriceps,,AY625248,,EU740013,AY600490,EU739855,,EU737261,EU737428,EU737576,,,U94799,,AY625219,
Turnicidae,Turnix_sylvatica,,EF380262,,EU740054,,EU739891,,EU737301,EU737470,EU737610,,,DQ385232,DQ385181,DQ385096,DQ385113
Tytonidae,Tyto_alba,DQ881935,DQ881834,,EU740055,,EU739893,DQ881790,EU737303,EU600971,EU737612,AF490174,AF490229,AJ004070,DQ434213,,
Upupa_epops,Upupa_epops,AF295151,AF294678,,EU740056,,EU739894,DQ881791,,EU737473,,,,U89189,,,
Mesitornis_variegatus,Mesitornis_variegatus,,,,,,,,,,,,,,,,
Chunga_burmeisteri,Chunga_burmeisteri,,,,,,,,,,,,,,,,
Xenicus_gilviventris,Xenicus_gilviventris,,,,,,,,,,,,,,,,
Dasyornis_brachypterus,Dasyornis_brachypterus,,,,,,,,,,,,,,,,
Dasyornis_longirostris,Dasyornis_longirostris,,,,,,,,,,,,,,,,
Daphoenositta_miranda,Daphoenositta_miranda,,,,,,,,,,,,,,,,
Urocynchramus_pylzowi,Urocynchramus_pylzowi,,,,,,,,,,,,,,,,
